,reward_onnut,reward_virtual,travel_time_onnut,travel_time_virtual
754,79,17,103700.7028,42584.89021
755,47,9,245901.341,17785.51205
756,52,8,277611.4899,19075.20548
757,102,21,256489.8127,18355.52178
758,109,18,171659.5997,3455.253773
759,111,9,30335.76308,16127.06737
760,117,10,10343.09526,10513.68792
761,103,24,30175.72976,4616.615804
762,113,27,158605.0208,8264.18812
763,93,13,160999.9691,25897.24287
764,103,14,175669.8671,20163.77746
765,99,11,117806.9808,13018.90855
766,105,15,28385.70286,44169.73959
767,62,11,81758.57338,10974.83254
768,92,17,49768.89523,20608.86625
769,103,17,75131.82015,29510.87724
770,77,21,90221.23902,17348.21816
771,81,13,95738.02035,21945.59157
772,100,10,144881.6493,12609.33405
773,87,10,165278.3294,12054.47853
