,action_onnut,action_virtual,reward_onnut,reward_virtual,travel_time_onnut,travel_time_virtual,teleport_number
216,2,1,55,7,4122.153904336414,2472.3514857800965,0
217,2,1,55,9,4234.052932598845,2387.1307496540876,0
218,1,3,41,5,4150.5952669449025,2462.1648184492324,0
219,1,1,24,6,3856.063310138845,2486.2598774332882,0
220,1,1,17,6,3818.81934405391,2407.55897617048,0
221,2,1,45,10,3963.1203525594633,2379.4780239608685,0
222,2,1,55,7,4031.9519516868327,2407.148902465671,0
223,2,1,58,0,3913.0041272270546,2438.720515445309,0
224,1,1,35,2,3897.879391386039,2555.7423967397904,0
225,1,1,31,8,3911.1727468318722,1183.7560693243215,1
226,1,3,14,15,3662.784350836625,1659.3265189306053,0
227,2,1,32,1,3320.044758982979,2411.434034741021,0
228,2,1,86,3,3470.2307138896304,572.1462418097822,2
229,2,1,97,8,3269.653798328587,283.50517447219823,11
230,1,1,54,13,2971.6650447187913,552.7877276732454,10
231,1,1,78,21,933.6996064189794,1045.2502340009403,1
232,1,1,55,19,1037.01490671527,716.8046379818234,0
233,2,1,61,26,1340.523403148456,595.4375164037953,0
234,2,1,80,29,3513.2109464717655,49.92841508689927,1
235,2,1,72,13,3699.9953181072333,725.125504814613,0
236,1,3,42,12,3550.898270485558,960.2580614337849,0
237,1,1,54,20,3377.788635362185,162.61946092896153,0
238,1,1,38,11,3428.872302007735,1046.6916810970413,0
239,2,1,94,5,3248.288229489058,1534.1316683852524,0
240,2,1,100,11,858.0977585412448,806.4412621431569,0
241,2,1,102,18,855.2342586310847,673.1338730167458,0
242,1,1,63,14,137.06691708696263,1379.8156296720015,1
243,1,1,60,5,490.55557068492334,2319.217486302676,0
244,1,3,49,7,391.5193479535745,2887.189527474873,0
245,2,1,73,7,415.028043334334,2720.196880751646,0
246,2,1,99,8,25.560615918029896,2685.769207307378,0
247,2,1,105,3,7.748364741348186,2673.051989093529,1
248,2,1,98,9,17.870630871976644,2690.878174776689,0
249,1,3,71,18,16.099484089592696,2420.2697575153525,0
250,1,1,80,10,14.897286031239119,498.16729413363373,0
251,1,1,91,13,439.72009253436124,54.62687794794339,0
252,2,1,98,16,54.81379814090024,175.9579141307725,0
253,2,1,116,16,1138.3091816859082,38.017554720050526,0
254,2,1,84,15,1725.0255160108354,12.841727812840176,0
255,1,1,67,11,1399.7077836314263,192.2780269848932,0
256,1,1,58,20,1150.8163241734792,249.5114725862236,0
257,1,3,64,24,1158.672460274187,766.599132588474,0
258,2,1,22,15,1584.0760888377556,1529.9058720917258,0
259,2,1,47,23,1579.9016856633095,1706.116169259329,0
260,2,1,57,6,1604.0463061016949,2561.2138343581646,0
261,1,1,34,21,1528.2006139048206,2343.3464050960006,0
262,1,1,29,14,1543.8273535577518,1475.1977484458569,0
263,1,1,30,22,4081.082631872879,1604.0552219007534,0
264,2,1,39,6,3996.7174329798613,1718.7715941495035,0
265,2,1,36,9,4178.694226541008,1462.064923808488,0
266,2,1,24,16,3677.764806913426,2594.1657627473674,0
267,1,3,89,13,3213.0849927059517,1849.5170548286887,0
268,1,1,77,5,3204.9063082884786,1490.0268591072484,0
269,1,1,20,17,3264.2662855622734,1568.4055965388734,0
270,2,1,78,18,443.32562968715877,1512.9749229593033,0
271,2,1,90,3,115.22961404310833,2564.4316731021995,0
272,2,1,109,14,758.3441290171023,2229.3224832916376,0
273,2,1,95,25,609.7789532607515,2024.750883390691,0
274,2,1,80,11,2526.647368237437,1480.9925968750276,0
275,2,1,92,9,3303.6566042798704,917.3001424899905,0
276,2,1,37,9,3503.8902884926265,148.39634843738602,0
277,1,3,70,27,2677.9713405936436,3.1198247501766545,0
278,1,1,79,11,2471.6242889446735,28.408200081085994,0
279,1,1,71,18,707.1673065180395,83.79909087586026,0
280,2,1,71,29,71.83669199350557,20.06372279364853,0
281,2,1,77,9,41.839264979417976,18.121452954977283,0
282,2,1,67,18,311.19945419161957,1.7065595210059072,0
283,2,1,65,23,199.34704417278078,19.425354175818963,0
284,2,1,67,19,235.35599802255734,17.390662265076593,0
285,2,1,45,30,402.9015363805551,2.5248840800286176,0
286,2,1,78,24,165.21414934445585,25.148245213368803,0
287,1,3,94,20,197.9501607120334,406.8705015342543,0
288,1,1,101,17,10.892069793518392,11.857836477861763,0
289,1,1,104,17,29.078233573018874,5.85649508457513,0
290,2,1,108,20,15.82619168258586,13.689078735892089,0
291,2,1,117,14,18.390330706632387,63.56825043296182,0
292,2,1,112,14,7.523242280386908,53.71688176998013,0
293,2,1,97,21,619.5303389981448,20.6550802218049,0
294,2,1,59,11,737.2796191065223,102.71730118003588,0
295,2,1,46,11,1395.9116175321049,147.95070510314994,0
296,2,1,8,10,1202.334705008947,142.33141019514525,0
297,1,3,73,19,713.8579002819978,66.72637687704415,0
298,1,1,68,8,85.19230678695985,31.891591924761016,0
