step_time,reward_onnut,reward_virtual,total_travel_time_onnut,total_travel_time_virtual
59685.0,101,35,2655.8054289227316,75.89268714188171
59700.0,66,16,2938.909527510383,789.5219712243576
59715.0,95,16,2972.584716521797,28.979218608093017
59730.0,76,25,2632.1223134934403,17.255258869594034
59745.0,87,23,2737.726193064485,188.8816628699038
59760.0,63,14,457.060913767191,430.308943735515
59775.0,80,20,1303.1579590755084,285.9489017897787
59790.0,78,18,95.86700421041297,150.9433651490537
59805.0,89,28,13.30223100663825,52.186521407353325
59820.0,75,16,56.053637410756686,43.79839808799094
59835.0,87,18,293.06821509477845,324.09393382546
59850.0,75,21,306.8551967831655,15.093653777237835
59865.0,76,21,113.56365891322791,20.071544716704665
59880.0,97,11,278.7853854430964,203.3079642948901
59895.0,55,17,4.73310724630044,8.980700190682574
59910.0,59,12,560.6191422733605,4.88536890898827
59925.0,74,20,912.6122218844519,18.333064908578088
59940.0,64,13,2531.8152378928894,407.8033927636924
59955.0,59,18,2224.60491399356,68.83238558411705
59970.0,69,35,1798.1778237601993,36.1634167579537
59985.0,75,26,1819.2360762428966,53.33848163320724
60000.0,71,16,1375.5852867576557,76.75701044567609
60015.0,70,15,1662.5702411686652,430.82807173647626
60030.0,96,13,1627.6916465842926,82.27230916972354
60045.0,70,14,1536.1112954357973,21.852340512817975
60060.0,58,15,1314.8563302874568,16.320109555771822
60075.0,60,13,1605.979287925063,15.40422095436935
60090.0,67,14,1889.9886282161372,388.12631567626727
60105.0,90,22,1662.1030687308332,400.7994917863831
60120.0,71,13,1416.4487085854312,1734.0544923983964
60135.0,63,9,228.68237437741817,67.97058206705698
60150.0,73,20,268.8062256196791,20.35410570002492
60165.0,57,14,84.13753005440228,143.27549889426604
60180.0,40,12,173.77478463232634,717.552203393092
60195.0,45,10,255.39794780903554,231.16314128327943
60210.0,72,15,640.258282070356,724.3587043360296
60225.0,64,22,95.0242803810325,79.4303033951415
60240.0,44,14,552.6706040699391,14.044772669136906
60255.0,63,15,247.22244702441347,15.370409972425506
60270.0,76,17,16.435288403909464,375.4162629875341
60285.0,78,14,25.187699164629635,44.481088163972295
60300.0,83,14,90.42779350306108,148.1577520216268
60315.0,61,10,19.23881522270038,527.0879369312809
60330.0,111,18,8.649460232922733,879.7646377442804
60345.0,107,12,219.13765793020727,1661.8133021495828
60360.0,103,13,21.169152699271322,29.74205665263515
60375.0,58,15,363.13802031951195,10.179121332187478
60390.0,66,18,461.1405064971524,367.5303920827087
60405.0,69,16,268.09235361224626,365.6669733171694
60420.0,44,15,161.3153880236808,2008.7802218048207
60435.0,61,14,623.0458388230049,206.63227664993985
60450.0,69,19,625.9159545445958,239.27501845876742
60465.0,102,23,10.766111904433107,36.502097503861876
60480.0,73,12,52.67578013469381,69.98945489931764
60495.0,98,17,199.0014348890625,5.909641053179165
60510.0,103,25,905.1284921768754,384.8383033363398
60525.0,82,19,146.09717334899096,38.28889940383343
60540.0,65,15,85.87365775345549,89.92573355694462
60555.0,77,18,1075.5287886066653,15.80300745569848
60570.0,94,20,2675.989976509925,27.622682509681304
60585.0,92,13,2155.2206566989366,302.9343716852757
60600.0,73,12,2173.14684546213,413.9425356695866
60615.0,67,18,2176.077291261807,411.88351085407754
60630.0,93,32,2207.2028507950513,1618.5727593544364
60645.0,72,21,2285.985427586104,52.111391082000914
60660.0,67,15,2338.1524142482153,139.07728316046118
60675.0,65,17,1568.6148816133311,17.909569333893753
60690.0,89,13,2439.0501487968436,69.0886952749697
60705.0,102,20,1690.448296750693,374.21281012093914
60720.0,52,10,1645.8134760745143,73.30371617243223
60735.0,43,16,1904.4892630531785,25.27213317394291
60750.0,73,24,2298.1111912671113,22.0015466162734
60765.0,107,30,2366.025484067448,44.659377751558445
60780.0,61,19,2251.6972739424127,8.852460393796576
60795.0,69,18,1668.6034674984003,1174.177134283987
60810.0,63,20,1712.1297257093247,1709.7171109716037
60825.0,79,20,1755.989045193717,74.89103117172506
60840.0,50,13,224.61044266634184,69.00295867781124
60855.0,50,17,1955.1034826947425,986.4080864810659
60870.0,67,12,612.5389201085957,12.993874475603604
60885.0,88,17,604.6903130481902,96.75095998673821
60900.0,45,13,608.1250361272171,40.46139234258364
60915.0,64,19,347.95779241298004,3.59337774326202
60930.0,62,22,319.26295644062117,19.139836864098996
60945.0,56,20,432.753151506115,14.24338207075358
60960.0,39,18,784.4848837862323,46.04605359928808
60975.0,66,19,425.21114939283365,25.552641485088042
60990.0,83,21,25.171366672038783,350.0403252300494
61005.0,79,21,13.16137240630616,18.261610912136938
61020.0,62,18,410.3076263251945,69.99625327182784
61035.0,81,16,138.72221395737904,774.3655275974311
61050.0,87,26,106.85653454141867,848.5836661266095
61065.0,107,21,80.65413535340551,54.52445144018566
61080.0,77,15,72.27477122544936,50.67995040872404
61095.0,70,15,70.60084990328369,5.700084712534061
61110.0,100,21,61.96826718563077,4.946069756578487
61125.0,106,22,967.5321146754195,105.99044997217395
61140.0,55,15,961.1550820410172,758.3366420646811
61155.0,68,16,937.3150694244675,24.822908593957095
